Basepair,Fraction,Left,Right,symmetry
1,0.0004375,0,0,0.0004375
5,0.0004375,0,0,0.0004375
10,0.0004375,0,0,0.0004375
15,0.0004375,0,0,0.0004375
20,0.0004375,0,0,0.0004375
25,0.0004375,0,0,0.0004375
30,0.01,0.005,0.0025,0.0025
35,0.025,0.005,0.015,0.005
40,0.045,0.005,0.008,0.032
45,0.065,0.02,0.005,0.04
50,0.0925,0.02,0.0175,0.055
55,0.03,0.0085,0.005,0.0165
60,0.01,0,0,0.01
65,0.085,0.08,0.005,0
70,0.005,0.005,0,0
75,0.0004375,0,0,0.0004375
80,0.0004375,0,0,0.0004375
85,0.0025,0,0.0025,0
90,0.0075,0,0.0025,0.005
95,0.028,0,0,0.028
100,0.061,0,0.0025,0.0585
105,0.028,0.002,0.01,0.016
110,0.018,0.0001,0.0025,0.0154
115,0.052,0.04,0.012,0
120,0.057,0.047,0.01,0
125,0.0175,0.01,0.0075,0
130,0.1675,0.16,0.0075,6.94E-18
135,0.065,0.055,0.01,0
140,0.08,0.025,0.002,0.053
145,0.045,0.02,0.025,0
150,0,0,0,0
