dataset	prot_p_conc	prot_cooperativity	n_reachable	n_selected	n_filler	ids_file
ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	10	50	40	ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	17364	50	0	ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50	1000.0	0.0	9652	50	0	ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50/p1000_c0.ids.txt
ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	19998	50	0	ctrl01_random_genome_safe_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	0	50	50	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	10938	50	0	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	0.0	3003	50	0	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c0.ids.txt
ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	19951	50	0	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	0	50	50	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	12597	50	0	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	1000.0	0.0	3717	50	0	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p1000_c0.ids.txt
ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	19982	50	0	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
ret_all_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	0	50	50	ret_all_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
ret_all_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	567	50	0	ret_all_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
ret_all_stable147_refined_Eout_6.70_Ein10.50	1000.0	0.0	9	50	41	ret_all_stable147_refined_Eout_6.70_Ein10.50/p1000_c0.ids.txt
ret_all_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	27259	50	0	ret_all_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
