p_conc,coop,k_bind,metric,half_life,decay_rate
0.001,0.0,0.01,0.1785460586972518,0.0,-0.7990495749852631
0.001,0.0,0.1,0.17973710915145463,0.0,-0.7992659766135018
0.001,0.0,1.0,0.18385414122612273,0.0,-0.8128167874253286
0.001,0.0,10.0,0.2213012775669619,0.36916335752430507,-0.781092975541197
0.001,0.0,100.0,0.3795369589849338,0.8321575813101237,-0.6230349368923263
0.001,0.0,1000.0,0.4697772082054962,0.7506141069130892,-0.2397069863228986
0.01,0.0,0.01,0.17973710915145463,0.0,-0.7992659766135018
0.01,0.0,0.1,0.18385414122612273,0.0,-0.8128167874253286
0.01,0.0,1.0,0.2213012775669619,0.36916335752430507,-0.781092975541197
0.01,0.0,10.0,0.3795369589849338,0.8321575813101237,-0.6230349368923263
0.01,0.0,100.0,0.4697772082054962,0.7506141069130892,-0.2397069863228986
0.01,0.0,1000.0,0.49304237392887523,0.6558267780390885,-0.16399873814951219
0.1,0.0,0.01,0.18385414122612273,0.0,-0.8128167874253286
0.1,0.0,0.1,0.2213012775669619,0.36916335752430507,-0.781092975541197
0.1,0.0,1.0,0.3795369589849338,0.8321575813101237,-0.6230349368923263
0.1,0.0,10.0,0.4697772082054962,0.7506141069130892,-0.2397069863228986
0.1,0.0,100.0,0.49304237392887523,0.6558267780390885,-0.16399873814951219
0.1,0.0,1000.0,0.47023885811410765,0.6263736263736265,-0.12108356588572533
0.0,0.0,0.01,0.1784862971764751,0.0,-0.798714315907359
0.0,0.0,0.1,0.1784862971764751,0.0,-0.798714315907359
0.0,0.0,1.0,0.1784862971764751,0.0,-0.798714315907359
0.0,0.0,10.0,0.1784862971764751,0.0,-0.798714315907359
0.0,0.0,100.0,0.1784862971764751,0.0,-0.798714315907359
0.0,0.0,1000.0,0.1784862971764751,0.0,-0.798714315907359
1.0,0.0,0.01,0.2213012775669619,0.36916335752430507,-0.781092975541197
1.0,0.0,0.1,0.3795369589849338,0.8321575813101237,-0.6230349368923263
1.0,0.0,1.0,0.4697772082054962,0.7506141069130892,-0.2397069863228986
1.0,0.0,10.0,0.49304237392887523,0.6558267780390885,-0.16399873814951219
1.0,0.0,100.0,0.47023885811410765,0.6263736263736265,-0.12108356588572533
1.0,0.0,1000.0,0.4717697249119025,0.6276568932201967,-0.13449057227424344
10.0,0.0,0.01,0.3795369589849338,0.8321575813101237,-0.6230349368923263
10.0,0.0,0.1,0.4697772082054962,0.7506141069130892,-0.2397069863228986
10.0,0.0,1.0,0.49304237392887523,0.6558267780390885,-0.16399873814951219
10.0,0.0,10.0,0.47023885811410765,0.6263736263736265,-0.12108356588572533
10.0,0.0,100.0,0.4717697249119025,0.6276568932201967,-0.13449057227424344
10.0,0.0,1000.0,0.4693650324321987,0.6276099651304456,-0.1314398330516832
100.0,0.0,0.01,0.4697772082054962,0.7506141069130892,-0.2397069863228986
100.0,0.0,0.1,0.49304237392887523,0.6558267780390885,-0.16399873814951219
100.0,0.0,1.0,0.47023885811410765,0.6263736263736265,-0.12108356588572533
100.0,0.0,10.0,0.4717697249119025,0.6276568932201967,-0.13449057227424344
100.0,0.0,100.0,0.4693650324321987,0.6276099651304456,-0.1314398330516832
100.0,0.0,1000.0,0.4693660238531723,0.6276099651304456,-0.13143608376072077
0.001,2.5,0.01,0.1785460586972518,0.0,-0.7990495749852631
0.001,2.5,0.1,0.179518938549924,0.0,-0.7980777382873744
0.001,2.5,1.0,0.18345864304275214,0.0,-0.7967018129952852
0.001,2.5,10.0,0.24182662784270723,0.5245864145765038,-0.763560996549152
0.001,2.5,100.0,0.3716636003927927,0.8162250527893194,-0.560634384038923
0.001,2.5,1000.0,0.48143432727616037,0.6664858675345026,-0.25315586402963625
0.01,2.5,0.01,0.179518938549924,0.0,-0.7980777382873744
0.01,2.5,0.1,0.18345864304275214,0.0,-0.7967018129952852
0.01,2.5,1.0,0.24182662784270723,0.5245864145765038,-0.763560996549152
0.01,2.5,10.0,0.3716636003927927,0.8162250527893194,-0.560634384038923
0.01,2.5,100.0,0.48143432727616037,0.6664858675345026,-0.25315586402963625
0.01,2.5,1000.0,0.4796314130002324,0.6145667847977515,-0.14314427982635916
0.1,2.5,0.01,0.18345864304275214,0.0,-0.7967018129952852
0.1,2.5,0.1,0.24182662784270723,0.5245864145765038,-0.763560996549152
0.1,2.5,1.0,0.3716636003927927,0.8162250527893194,-0.560634384038923
0.1,2.5,10.0,0.48143432727616037,0.6664858675345026,-0.25315586402963625
0.1,2.5,100.0,0.4796314130002324,0.6145667847977515,-0.14314427982635916
0.1,2.5,1000.0,0.4737075815688525,0.5295501323140253,-0.14188554364669126
0.0,2.5,0.01,,,
0.0,2.5,0.1,,,
0.0,2.5,1.0,,,
0.0,2.5,10.0,,,
0.0,2.5,100.0,,,
0.0,2.5,1000.0,,,
1.0,2.5,0.01,0.24182662784270723,0.5245864145765038,-0.763560996549152
1.0,2.5,0.1,0.3716636003927927,0.8162250527893194,-0.560634384038923
1.0,2.5,1.0,0.48143432727616037,0.6664858675345026,-0.25315586402963625
1.0,2.5,10.0,0.4796314130002324,0.6145667847977515,-0.14314427982635916
1.0,2.5,100.0,0.4737075815688525,0.5295501323140253,-0.14188554364669126
1.0,2.5,1000.0,0.4737456107993606,0.5125390270923558,-0.14225430824651022
10.0,2.5,0.01,0.3716636003927927,0.8162250527893194,-0.560634384038923
10.0,2.5,0.1,0.48143432727616037,0.6664858675345026,-0.25315586402963625
10.0,2.5,1.0,0.4796314130002324,0.6145667847977515,-0.14314427982635916
10.0,2.5,10.0,0.4737075815688525,0.5295501323140253,-0.14188554364669126
10.0,2.5,100.0,0.4737456107993606,0.5125390270923558,-0.14225430824651022
10.0,2.5,1000.0,0.47369124662123074,0.5119299305345818,-0.14227604501177055
100.0,2.5,0.01,0.48143432727616037,0.6664858675345026,-0.25315586402963625
100.0,2.5,0.1,0.4796314130002324,0.6145667847977515,-0.14314427982635916
100.0,2.5,1.0,0.4737075815688525,0.5295501323140253,-0.14188554364669126
100.0,2.5,10.0,0.4737456107993606,0.5125390270923558,-0.14225430824651022
100.0,2.5,100.0,0.47369124662123074,0.5119299305345818,-0.14227604501177055
100.0,2.5,1000.0,0.47369184595310565,0.5119299305345818,-0.14227599412825784
0.001,5.0,0.01,0.1785460586972518,0.0,-0.7990495749852631
0.001,5.0,0.1,0.17967018683389657,0.0,-0.7991889324023275
0.001,5.0,1.0,0.1849867362876721,0.0,-0.8054072627382856
0.001,5.0,10.0,0.24314378461701955,0.5351193674675674,-0.7468020496039155
0.001,5.0,100.0,0.3787757241294032,0.8286393562545722,-0.5608956217200425
0.001,5.0,1000.0,0.47997456256464915,0.659193364188255,-0.2518370822729723
